nivel,pai,filho,quantidade,quantidade_acumulada
3,I2002650,I1007594,2.0,2.0
4,I1007594,G2005882,0.04,0.08
3,I2002650,I1007595,1.0,1.0
4,I1007595,G2005887,0.08,0.08
3,I2002650,I1007596,1.0,1.0
4,I1007596,G2005882,0.42,0.42
3,I2002650,I1007597,1.0,1.0
4,I1007597,G2005882,0.07,0.07
3,I2002650,I1007598,1.0,1.0
4,I1007598,G2005931,1.67,1.67
3,I2002650,I1007599,1.0,1.0
4,I1007599,G2005931,1.04,1.04
3,I2002650,I1007600,1.0,1.0
4,I1007600,G2005882,0.01,0.01
2,I2011007,I2002651,1.0,1.0
3,I2002651,G1003384,1.0,1.0
3,I2002651,G1004651,4.0,4.0
3,I2002651,G1004660,4.0,4.0
3,I2002651,G1009283,1.0,1.0
3,I2002651,G3000308,1.0,1.0
3,I2002651,G3002424,2.0,2.0
3,I2002651,I1007592,1.0,1.0
4,I1007592,G2005882,0.23,0.23
3,I2002651,I1007593,1.0,1.0
4,I1007593,G2005882,0.21,0.21
3,I2002651,I1007594,2.0,2.0
4,I1007594,G2005882,0.04,0.08
3,I2002651,I1007595,1.0,1.0
4,I1007595,G2005887,0.08,0.08
3,I2002651,I1007596,1.0,1.0
4,I1007596,G2005882,0.42,0.42
3,I2002651,I1007597,1.0,1.0
4,I1007597,G2005882,0.07,0.07
3,I2002651,I1007598,1.0,1.0
4,I1007598,G2005931,1.67,1.67
3,I2002651,I1007599,1.0,1.0
4,I1007599,G2005931,1.04,1.04
3,I2002651,I1007600,1.0,1.0
4,I1007600,G2005882,0.01,0.01
2,I2011007,I2004140,1.0,1.0
3,I2004140,G1002471,1.0,1.0
3,I2004140,G1009269,3.0,3.0
3,I2004140,G1009270,4.0,4.0
3,I2004140,G3000229,25.0,25.0
3,I2004140,G3000230,25.0,25.0
3,I2004140,G3000231,1.0,1.0
3,I2004140,I1009027,1.0,1.0
4,I1009027,G3003422,16.0,16.0
2,I2011007,I2010988,1.0,1.0
3,I2010988,G1009282,1.0,1.0
3,I2010988,G3000951,24.0,24.0
3,I2010988,G3001012,12.0,12.0
3,I2010988,G3001107,12.0,12.0
3,I2010988,I1007214,1.0,1.0
4,I1007214,G2000188,0.79,0.79
3,I2010988,I1007362,1.0,1.0
4,I1007362,G2005931,9.2,9.2
3,I2010988,I1007363,1.0,1.0
4,I1007363,G2000380,0.74,0.74
2,I2011007,I2011152,1.0,1.0
3,I2011152,I2005356,1.0,1.0
4,I2005356,G1004687,1.0,1.0
4,I2005356,G3001079,1.0,1.0
4,I2005356,I2005354,1.0,1.0
5,I2005354,I1015451,1.0,1.0
6,I1015451,G2005884,1.57,1.57
5,I2005354,I1015453,1.0,1.0
6,I1015453,G2005931,0.32,0.32
4,I2005356,I2005355,1.0,1.0
5,I2005355,I1015453,1.0,1.0
6,I1015453,G2005931,0.32,0.32
5,I2005355,I1015454,1.0,1.0
6,I1015454,G2005884,1.8,1.8
3,I2011152,I2011153,1.0,1.0
4,I2011153,I1015438,1.0,1.0
5,I1015438,G2005707,2.82,2.82
4,I2011153,I1015441,1.0,1.0
5,I1015441,G2005931,0.28,0.28
4,I2011153,I1015442,1.0,1.0
5,I1015442,G2005884,0.86,0.86
4,I2011153,I1015443,2.0,2.0
5,I1015443,G2005931,0.08,0.16
4,I2011153,I1033512,1.0,1.0
5,I1033512,G2005707,4.02,4.02
1,I3001192,I2011282,1.0,1.0
2,I2011282,G1000392,1.0,1.0
2,I2011282,G1000415,1.0,1.0
2,I2011282,G1004633,1.0,1.0
2,I2011282,G1004644,1.0,1.0
2,I2011282,G1005335,1.0,1.0
2,I2011282,G1005336,1.0,1.0
1,I3001192,I2011419,1.0,1.0
2,I2011419,G1001640,2.0,2.0
2,I2011419,G1002333,2.0,2.0
2,I2011419,G1002666,2.0,2.0
2,I2011419,G1004651,8.0,8.0
2,I2011419,G1007287,4.0,4.0
2,I2011419,G1007398,1.0,1.0
2,I2011419,G1008721,1.0,1.0
2,I2011419,G1009097,1.0,1.0
2,I2011419,G1009849,3.0,3.0
2,I2011419,G1009865,1.0,1.0
2,I2011419,G1017483,1.0,1.0
2,I2011419,G1018184,1.0,1.0
2,I2011419,G1018205,1.0,1.0
2,I2011419,G1021152,1.0,1.0
2,I2011419,G3000223,4.0,4.0
2,I2011419,G3000303,8.0,8.0
2,I2011419,G3000309,8.0,8.0
2,I2011419,G3001126,2.0,2.0
2,I2011419,G3001749,2.0,2.0
2,I2011419,G3008085,8.0,8.0
2,I2011419,I1008714,2.0,2.0
3,I1008714,G2000183,0.39,0.78
3,I1008714,G2000183,0.26,0.52
3,I1008714,G2000183,0.13,0.26
2,I2011419,I1022639,4.0,4.0
3,I1022639,G2005885,1.48,5.92
2,I2011419,I1022653,1.0,1.0
3,I1022653,G2005887,1.81,1.81
2,I2011419,I1022660,1.0,1.0
3,I1022660,G1017788,1.0,1.0
2,I2011419,I1022780,1.0,1.0
3,I1022780,G2005932,0.8,0.8
2,I2011419,I1034317,1.0,1.0
3,I1034317,G2005798,0.18,0.18
2,I2011419,I1034318,2.0,2.0
3,I1034318,G2005798,0.28,0.56
2,I2011419,I1034320,1.0,1.0
3,I1034320,G2005882,2.87,2.87
2,I2011419,I1034333,1.0,1.0
3,I1034333,G2005798,0.31,0.31
2,I2011419,I1034334,1.0,1.0
3,I1034334,G2005798,0.23,0.23
2,I2011419,I1034339,1.0,1.0
3,I1034339,G2005798,0.74,0.74
2,I2011419,I2014538,4.0,4.0
3,I2014538,G3000951,4.0,16.0
3,I2014538,G3001067,4.0,16.0
3,I2014538,G3007840,4.0,16.0
3,I2014538,G3000951,2.0,8.0
3,I2014538,G3001067,2.0,8.0
3,I2014538,G3007840,2.0,8.0
3,I2014538,G3000951,24.0,96.0
3,I2014538,G3001067,24.0,96.0
3,I2014538,G3007840,24.0,96.0
3,I2014538,G3000951,45.0,180.0
3,I2014538,G3001067,45.0,180.0
3,I2014538,G3007840,45.0,180.0
1,I3001192,I2011431,1.0,1.0
2,I2011431,G1005488,1.0,1.0
2,I2011431,G1006570,1.0,1.0
2,I2011431,G1007398,1.0,1.0
2,I2011431,G1007415,2.0,2.0
2,I2011431,G1019910,1.0,1.0
2,I2011431,G3000312,4.0,4.0
2,I2011431,G3004555,4.0,4.0
2,I2011431,I1007764,1.0,1.0
3,I1007764,G2005868,0.25,0.25
3,I1007764,G2005868,0.5,0.5
2,I2011431,I1017531,1.0,1.0
3,I1017531,G2005883,0.75,0.75
2,I2011431,I1025370,1.0,1.0
3,I1025370,G2005883,0.82,0.82
2,I2011431,I1031672,1.0,1.0
3,I1031672,G2007032,0.19,0.19
3,I1031672,G2007032,0.38,0.38
2,I2011431,I1033329,1.0,1.0
3,I1033329,G1009208,1.0,1.0
2,I2011431,I1034222,1.0,1.0
3,I1034222,G2005931,0.96,0.96
2,I2011431,I1034225,1.0,1.0
3,I1034225,G2005887,8.8,8.8
2,I2011431,I1034291,1.0,1.0
3,I1034291,G1017788,1.0,1.0
2,I2011431,I1044934,1.0,1.0
3,I1044934,G2005932,0.74,0.74
2,I2011431,I2011115,1.0,1.0
3,I2011115,G1009849,2.0,2.0
3,I2011115,G1009865,1.0,1.0
3,I2011115,G1021152,1.0,1.0
3,I2011115,I1008712,1.0,1.0
4,I1008712,G2005798,0.18,0.18
2,I2011431,I2013558,4.0,4.0
3,I2013558,G3002236,16.0,64.0
3,I2013558,G3007835,16.0,64.0
3,I2013558,G3002236,4.0,16.0
3,I2013558,G3007835,4.0,16.0
3,I2013558,G3002236,48.0,192.0
3,I2013558,G3007835,48.0,192.0
2,I2011431,I2013694,6.0,6.0
3,I2013694,G3004344,6.0,36.0
3,I2013694,G3007835,6.0,36.0
3,I2013694,G3004344,8.0,48.0
3,I2013694,G3007835,8.0,48.0
2,I2011431,I2014538,2.0,2.0
3,I2014538,G3000951,4.0,8.0
3,I2014538,G3001067,4.0,8.0
3,I2014538,G3007840,4.0,8.0
3,I2014538,G3000951,2.0,4.0
3,I2014538,G3001067,2.0,4.0
3,I2014538,G3007840,2.0,4.0
3,I2014538,G3000951,24.0,48.0
3,I2014538,G3001067,24.0,48.0
3,I2014538,G3007840,24.0,48.0
3,I2014538,G3000951,45.0,90.0
3,I2014538,G3001067,45.0,90.0
3,I2014538,G3007840,45.0,90.0
1,I3001192,I2011447,1.0,1.0
2,I2011447,G1005312,1.0,1.0
2,I2011447,G1006570,3.0,3.0
2,I2011447,G1009085,2.0,2.0
2,I2011447,G1009086,2.0,2.0
2,I2011447,G1009208,2.0,2.0
2,I2011447,I1031664,2.0,2.0
3,I1031664,G2005934,2.38,4.76
2,I2011447,I1031672,2.0,2.0
3,I1031672,G2007032,0.19,0.38
3,I1031672,G2007032,0.38,0.76
2,I2011447,I1033644,2.0,2.0
3,I1033644,G2005707,0.62,1.24
2,I2011447,I1034280,1.0,1.0
3,I1034280,G2007032,0.75,0.75
2,I2011447,I1034281,1.0,1.0
3,I1034281,G2007032,0.231,0.231
2,I2011447,I1034445,1.0,1.0
3,I1034445,G1014966,0.15,0.15
2,I2011447,I1034446,1.0,1.0
3,I1034446,G1014966,0.2,0.2
2,I2011447,I2013694,8.0,8.0
3,I2013694,G3004344,6.0,48.0
3,I2013694,G3007835,6.0,48.0
3,I2013694,G3004344,8.0,64.0
3,I2013694,G3007835,8.0,64.0
1,I3001192,I2011454,1.0,1.0
2,I2011454,I1034302,2.0,2.0
3,I1034302,G2005887,42.08,84.16
2,I2011454,I2011418,2.0,2.0
3,I2011418,G1001230,2.0,4.0
3,I2011418,G1001640,2.0,4.0
3,I2011418,G1007287,2.0,4.0
3,I2011418,G1009172,8.0,16.0
3,I2011418,G1009267,2.0,4.0
3,I2011418,G1009849,2.0,4.0
3,I2011418,G1022588,2.0,4.0
3,I2011418,G3003418,8.0,16.0
3,I2011418,G3010420,8.0,16.0
3,I2011418,I1007325,4.0,8.0
4,I1007325,G2000069,0.28,2.24
4,I1007325,G2000069,0.48,3.84
4,I1007325,G2000069,0.16,1.28
4,I1007325,G2000069,0.24,1.92
3,I2011418,I1007328,2.0,4.0
4,I1007328,G2000073,0.48,1.92
4,I1007328,G2000073,0.32,1.28
4,I1007328,G2000073,0.16,0.64
3,I2011418,I1007333,8.0,16.0
4,I1007333,G2005887,1.44,23.04
4,I1007333,G2005887,0.72,11.52
3,I2011418,I1007691,2.0,4.0
4,I1007691,G2005707,0.3,1.2
4,I1007691,G2005707,0.15,0.6
3,I2011418,I1007692,2.0,4.0
4,I1007692,G2005887,0.3,1.2
4,I1007692,G2005887,0.15,0.6
3,I2011418,I1031632,2.0,4.0
4,I1031632,G2000076,0.64,2.56
3,I2011418,I1032312,8.0,16.0
4,I1032312,G1015402,0.0448,0.7168
3,I2011418,I1034196,2.0,4.0
4,I1034196,G2005931,51.38,205.52
3,I2011418,I1034197,2.0,4.0
4,I1034197,G2005931,46.9,187.6
3,I2011418,I1034300,2.0,4.0
4,I1034300,G2005887,33.98,135.92
3,I2011418,I1034301,2.0,4.0
4,I1034301,G2005931,21.38,85.52
3,I2011418,I1034310,2.0,4.0
4,I1034310,G2005931,51.3,205.2
3,I2011418,I1034328,2.0,4.0
4,I1034328,G2005931,46.9,187.6
3,I2011418,I2010748,8.0,16.0
4,I2010748,I1032321,8.0,128.0
5,I1032321,G2005931,3.92,501.76
4,I2010748,I1032322,8.0,128.0
5,I1032322,G2005887,5.84,747.52
3,I2011418,I2011459,2.0,4.0
4,I2011459,G1006118,4.0,16.0
4,I2011459,I1008838,2.0,8.0
5,I1008838,G1012232,5.235,41.88
5,I1008838,G1012232,3.49,27.92
1,I3001192,I2011471,1.0,1.0
2,I2011471,G1001640,2.0,2.0
2,I2011471,G1002333,2.0,2.0
2,I2011471,G1002666,2.0,2.0
2,I2011471,G1004651,8.0,8.0
2,I2011471,G1007287,4.0,4.0
2,I2011471,G1007398,1.0,1.0
2,I2011471,G1008721,1.0,1.0
2,I2011471,G1009097,1.0,1.0
2,I2011471,G1009849,3.0,3.0
2,I2011471,G1009865,1.0,1.0
2,I2011471,G1017483,1.0,1.0
2,I2011471,G1018184,1.0,1.0
2,I2011471,G1018205,1.0,1.0
2,I2011471,G1021152,1.0,1.0
2,I2011471,G3000223,4.0,4.0
2,I2011471,G3000303,8.0,8.0
2,I2011471,G3000309,8.0,8.0
2,I2011471,G3001126,2.0,2.0
2,I2011471,G3001749,2.0,2.0
2,I2011471,G3008085,8.0,8.0
2,I2011471,I1008714,2.0,2.0
3,I1008714,G2000183,0.39,0.78
3,I1008714,G2000183,0.26,0.52
3,I1008714,G2000183,0.13,0.26
2,I2011471,I1022639,4.0,4.0
3,I1022639,G2005885,1.48,5.92
2,I2011471,I1022653,1.0,1.0
3,I1022653,G2005887,1.81,1.81
2,I2011471,I1022660,1.0,1.0
3,I1022660,G1017788,1.0,1.0
2,I2011471,I1022780,1.0,1.0
3,I1022780,G2005932,0.8,0.8
2,I2011471,I1034317,1.0,1.0
3,I1034317,G2005798,0.18,0.18
2,I2011471,I1034318,2.0,2.0
3,I1034318,G2005798,0.28,0.56
2,I2011471,I1034333,1.0,1.0
3,I1034333,G2005798,0.31,0.31
2,I2011471,I1034334,1.0,1.0
3,I1034334,G2005798,0.23,0.23
2,I2011471,I1034339,1.0,1.0
3,I1034339,G2005798,0.74,0.74
2,I2011471,I1034349,1.0,1.0
3,I1034349,G2005931,6.7,6.7
2,I2011471,I2014538,4.0,4.0
3,I2014538,G3000951,4.0,16.0
3,I2014538,G3001067,4.0,16.0
3,I2014538,G3007840,4.0,16.0
3,I2014538,G3000951,2.0,8.0
3,I2014538,G3001067,2.0,8.0
3,I2014538,G3007840,2.0,8.0
3,I2014538,G3000951,24.0,96.0
3,I2014538,G3001067,24.0,96.0
3,I2014538,G3007840,24.0,96.0
3,I2014538,G3000951,45.0,180.0
3,I2014538,G3001067,45.0,180.0
3,I2014538,G3007840,45.0,180.0
1,I3001192,I2015513,1.0,1.0
2,I2015513,I2007576,1.0,1.0
3,I2007576,G3002554,2.0,2.0
3,I2007576,G3006212,2.0,2.0
3,I2007576,I1024108,1.0,1.0
4,I1024108,G1000584,0.15,0.15
2,I2015513,I2015512,10.0,10.0
3,I2015512,G1003139,10.0,100.0
3,I2015512,G1009662,10.0,100.0
3,I2015512,G1013109,20.0,200.0
3,I2015512,G3000314,20.0,200.0
3,I2015512,G3013059,30.0,300.0
1,I3001192,I2015518,3.0,3.0
2,I2015518,G1002811,12.0,36.0
2,I2015518,I1007209,6.0,18.0
3,I1007209,G2005882,11.22,201.96
2,I2015518,I1007213,6.0,18.0
3,I1007213,G2005882,0.6,10.799999999999999
3,I1007213,G2005882,0.9,16.2
2,I2015518,I1008468,6.0,18.0
3,I1008468,G1000333,7.5,135.0
2,I2015518,I1011585,6.0,18.0
3,I1011585,G2005882,14.46,260.28000000000003
2,I2015518,I2013558,48.0,144.0
3,I2013558,G3002236,16.0,2304.0
3,I2013558,G3007835,16.0,2304.0
3,I2013558,G3002236,4.0,576.0
3,I2013558,G3007835,4.0,576.0
3,I2013558,G3002236,48.0,6912.0
3,I2013558,G3007835,48.0,6912.0
1,I3001192,I2015599,1.0,1.0
2,I2015599,G1015172,1.0,1.0
2,I2015599,I1007726,1.0,1.0
3,I1007726,G2005931,13.65,13.65
2,I2015599,I2002654,1.0,1.0
3,I2002654,G1002611,1.0,1.0
3,I2002654,G1009107,1.0,1.0
3,I2002654,G1009210,1.0,1.0
3,I2002654,G1009268,1.0,1.0
3,I2002654,G3000312,4.0,4.0
3,I2002654,G3000951,8.0,8.0
3,I2002654,G3001012,4.0,4.0
3,I2002654,G3001107,4.0,4.0
3,I2002654,G3001128,8.0,8.0
3,I2002654,G3004553,4.0,4.0
3,I2002654,G3008736,1.0,1.0
3,I2002654,G3009026,1.0,1.0
3,I2002654,G3010140,1.0,1.0
3,I2002654,I1007328,1.0,1.0
4,I1007328,G2000073,0.48,0.48
4,I1007328,G2000073,0.32,0.32
4,I1007328,G2000073,0.16,0.16
3,I2002654,I1007627,2.0,2.0
4,I1007627,G2005882,13.62,27.24
3,I2002654,I1007628,1.0,1.0
4,I1007628,G2005882,13.03,13.03
3,I2002654,I1007631,2.0,2.0
4,I1007631,G2005882,1.66,3.32
3,I2002654,I1007764,2.0,2.0
4,I1007764,G2005868,0.25,0.5
4,I1007764,G2005868,0.5,1.0
3,I2002654,I1008709,1.0,1.0
4,I1008709,G2005798,0.12,0.12
3,I2002654,I1008712,1.0,1.0
4,I1008712,G2005798,0.18,0.18
3,I2002654,I1030355,1.0,1.0
4,I1030355,G2005932,2.11,2.11
3,I2002654,I1030395,2.0,2.0
4,I1030395,G2005882,0.22,0.44
3,I2002654,I1030396,1.0,1.0
4,I1030396,G2005887,0.33,0.33
3,I2002654,I1030397,1.0,1.0
4,I1030397,G2005882,4.66,4.66
3,I2002654,I2003251,2.0,2.0
4,I2003251,I1007630,2.0,4.0
5,I1007630,G2005887,10.0,40.0
4,I2003251,I1007632,2.0,4.0
5,I1007632,G2005887,9.32,37.28
2,I2015599,I2002873,1.0,1.0
3,I2002873,G1000553,2.0,2.0
3,I2002873,G1001538,1.0,1.0
3,I2002873,G1001870,2.0,2.0
3,I2002873,G1003793,2.0,2.0
3,I2002873,G3000328,4.0,4.0
3,I2002873,I1006836,2.0,2.0
4,I1006836,G2005887,16.68,33.36
3,I2002873,I1006837,2.0,2.0
4,I1006837,G2005887,3.48,6.96
3,I2002873,I1006845,2.0,2.0
4,I1006845,G2000082,1.1,2.2
3,I2002873,I1012135,1.0,1.0
4,I1012135,G2005932,0.09,0.09
3,I2002873,I2009925,1.0,1.0
4,I2009925,G1000553,2.0,2.0
4,I2009925,I1006841,1.0,1.0
5,I1006841,G2005887,51.11,51.11
4,I2009925,I1006842,1.0,1.0
5,I1006842,G2005931,3.63,3.63
4,I2009925,I1006843,1.0,1.0
5,I1006843,G2005931,4.29,4.29
4,I2009925,I1006844,1.0,1.0
5,I1006844,G2005931,4.29,4.29
4,I2009925,I2002874,2.0,2.0
5,I2002874,I1006838,2.0,4.0
6,I1006838,G2005887,8.6,34.4
5,I2002874,I1006839,2.0,4.0
6,I1006839,G2005887,8.6,34.4
5,I2002874,I1006840,2.0,4.0
6,I1006840,G2005798,0.4,1.6
5,I2002874,I1008286,2.0,4.0
6,I1008286,G2005882,0.32,1.28
2,I2015599,I2003159,1.0,1.0
3,I2003159,G1004660,2.0,2.0
3,I2003159,G3000325,2.0,2.0
3,I2003159,G3004330,2.0,2.0
3,I2003159,I1007715,1.0,1.0
4,I1007715,G2005882,0.23,0.23
3,I2003159,I1009143,1.0,1.0
4,I1009143,G2005882,0.25,0.25
2,I2015599,I2007882,1.0,1.0
3,I2007882,G1007287,1.0,1.0
3,I2007882,G1009268,2.0,2.0
3,I2007882,G1022571,1.0,1.0
3,I2007882,G3000312,4.0,4.0
3,I2007882,G3000951,8.0,8.0
3,I2007882,G3001012,4.0,4.0
3,I2007882,G3001107,4.0,4.0
3,I2007882,G3001128,8.0,8.0
3,I2007882,G3004553,4.0,4.0
3,I2007882,I1007328,2.0,2.0
4,I1007328,G2000073,0.48,0.96
4,I1007328,G2000073,0.32,0.64
4,I1007328,G2000073,0.16,0.32
3,I2007882,I1007630,2.0,2.0
4,I1007630,G2005887,10.0,20.0
3,I2007882,I1007631,2.0,2.0
4,I1007631,G2005882,1.66,3.32
3,I2007882,I1007632,2.0,2.0
4,I1007632,G2005887,9.32,18.64
3,I2007882,I1007691,1.0,1.0
4,I1007691,G2005707,0.3,0.3
4,I1007691,G2005707,0.15,0.15
3,I2007882,I1007692,1.0,1.0
4,I1007692,G2005887,0.3,0.3
4,I1007692,G2005887,0.15,0.15
3,I2007882,I1008714,1.0,1.0
4,I1008714,G2000183,0.39,0.39
4,I1008714,G2000183,0.26,0.26
4,I1008714,G2000183,0.13,0.13
3,I2007882,I1024631,2.0,2.0
4,I1024631,G2005882,14.1,28.2
3,I2007882,I1024632,1.0,1.0
4,I1024632,G2005931,34.35,34.35
3,I2007882,I1024633,1.0,1.0
4,I1024633,G2005882,6.07,6.07
2,I2015599,I2015526,1.0,1.0
3,I2015526,I1044369,4.0,4.0
4,I1044369,G2005883,9.28,37.12
3,I2015526,I2009382,4.0,4.0
4,I2009382,G1009172,4.0,16.0
4,I2009382,G1014845,8.0,32.0
4,I2009382,G3003418,4.0,16.0
4,I2009382,G3005252,8.0,32.0
4,I2009382,G3010420,4.0,16.0
4,I2009382,I1007333,4.0,16.0
5,I1007333,G2005887,1.44,23.04
5,I1007333,G2005887,0.72,11.52
4,I2009382,I1013437,4.0,16.0
5,I1013437,G1015402,0.52,8.32
5,I1013437,G1015402,1.3,20.8
4,I2009382,I2004917,4.0,16.0
5,I2004917,I1007331,8.0,128.0
6,I1007331,G2005887,1.76,225.28
6,I1007331,G2005887,4.4,563.2
5,I2004917,I1014052,4.0,64.0
6,I1014052,G2005887,5.12,327.68
6,I1014052,G2005887,12.8,819.2
5,I2004917,I1007331,20.0,320.0
6,I1007331,G2005887,1.76,563.2
6,I1007331,G2005887,4.4,1408.0
5,I2004917,I1014052,10.0,160.0
6,I1014052,G2005887,5.12,819.2
6,I1014052,G2005887,12.8,2048.0
4,I2009382,I2009383,4.0,16.0
5,I2009383,I1007331,8.0,128.0
6,I1007331,G2005887,1.76,225.28
6,I1007331,G2005887,4.4,563.2
5,I2009383,I1028648,4.0,64.0
6,I1028648,G2005887,5.04,322.56
6,I1028648,G2005887,12.6,806.4
5,I2009383,I1007331,20.0,320.0
6,I1007331,G2005887,1.76,563.2
6,I1007331,G2005887,4.4,1408.0
5,I2009383,I1028648,10.0,160.0
6,I1028648,G2005887,5.04,806.4
6,I1028648,G2005887,12.6,2016.0
3,I2015526,I2015527,10.0,10.0
4,I2015527,G1016221,10.0,100.0
4,I2015527,G3010420,10.0,100.0
4,I2015527,I1013437,10.0,100.0
5,I1013437,G1015402,0.52,52.0
5,I1013437,G1015402,1.3,130.0
4,I2015527,I2004917,10.0,100.0
5,I2004917,I1007331,8.0,800.0
6,I1007331,G2005887,1.76,1408.0
6,I1007331,G2005887,4.4,3520.0000000000005
5,I2004917,I1014052,4.0,400.0
6,I1014052,G2005887,5.12,2048.0
6,I1014052,G2005887,12.8,5120.0
5,I2004917,I1007331,20.0,2000.0
6,I1007331,G2005887,1.76,3520.0
6,I1007331,G2005887,4.4,8800.0
5,I2004917,I1014052,10.0,1000.0
6,I1014052,G2005887,5.12,5120.0
6,I1014052,G2005887,12.8,12800.0
4,I2015527,I2009383,10.0,100.0
5,I2009383,I1007331,8.0,800.0
6,I1007331,G2005887,1.76,1408.0
6,I1007331,G2005887,4.4,3520.0000000000005
5,I2009383,I1028648,4.0,400.0
6,I1028648,G2005887,5.04,2016.0
6,I1028648,G2005887,12.6,5040.0
5,I2009383,I1007331,20.0,2000.0
6,I1007331,G2005887,1.76,3520.0
6,I1007331,G2005887,4.4,8800.0
5,I2009383,I1028648,10.0,1000.0
6,I1028648,G2005887,5.04,5040.0
6,I1028648,G2005887,12.6,12600.0
2,I2015599,I2015597,1.0,1.0
3,I2015597,I1044444,2.0,2.0
4,I1044444,G2005931,1.68,3.36
3,I2015597,I1044637,4.0,4.0
4,I1044637,G2005931,3.72,14.88
3,I2015597,I2014538,24.0,24.0
4,I2014538,G3000951,4.0,96.0
4,I2014538,G3001067,4.0,96.0
4,I2014538,G3007840,4.0,96.0
4,I2014538,G3000951,2.0,48.0
4,I2014538,G3001067,2.0,48.0
4,I2014538,G3007840,2.0,48.0
4,I2014538,G3000951,24.0,576.0
4,I2014538,G3001067,24.0,576.0
4,I2014538,G3007840,24.0,576.0
4,I2014538,G3000951,45.0,1080.0
4,I2014538,G3001067,45.0,1080.0
4,I2014538,G3007840,45.0,1080.0
3,I2015597,I2015352,6.0,6.0
4,I2015352,G1005032,6.0,36.0
4,I2015352,G3001079,6.0,36.0
4,I2015352,G3001126,6.0,36.0
3,I2015597,I2015551,6.0,6.0
4,I2015551,G3001079,6.0,36.0
4,I2015551,G3001126,6.0,36.0
4,I2015551,G3002567,6.0,36.0
4,I2015551,G3001079,8.0,48.0
4,I2015551,G3001126,8.0,48.0
4,I2015551,G3002567,8.0,48.0
3,I2015597,I2015596,1.0,1.0
4,I2015596,I1027861,1.0,1.0
5,I1027861,G2005931,0.16,0.16
5,I1027861,G2005931,1.28,1.28
4,I2015596,I1044626,1.0,1.0
5,I1044626,G2005932,13.14,13.14
4,I2015596,I1044627,1.0,1.0
5,I1044627,G2005932,8.24,8.24
4,I2015596,I1044628,1.0,1.0
5,I1044628,G2005932,8.24,8.24
4,I2015596,I1044629,1.0,1.0
5,I1044629,G2005932,3.44,3.44
4,I2015596,I1044630,1.0,1.0
5,I1044630,G2005931,0.53,0.53
4,I2015596,I1044631,1.0,1.0
5,I1044631,G2005932,8.79,8.79
4,I2015596,I2015554,1.0,1.0
5,I2015554,G1009112,1.0,1.0
5,I2015554,G3000328,8.0,8.0
5,I2015554,G3006035,2.0,2.0
5,I2015554,G3010009,2.0,2.0
5,I2015554,I1044484,1.0,1.0
6,I1044484,G2005932,6.19,6.19
5,I2015554,I1044488,1.0,1.0
6,I1044488,G1009109,2.145,2.145
5,I2015554,I2013255,1.0,1.0
6,I2013255,G1005029,1.0,1.0
6,I2013255,G3004428,1.0,1.0
6,I2013255,I1006833,2.0,2.0
7,I1006833,G2005882,0.08,0.16
7,I1006833,G2005882,0.32,0.64
7,I1006833,G2005882,0.24,0.48
6,I2013255,I1038970,1.0,1.0
7,I1038970,G2005887,0.21,0.21
7,I1038970,G2005887,0.84,0.84
7,I1038970,G2005887,0.63,0.63
6,I2013255,I1038971,2.0,2.0
7,I1038971,G2000064,0.02,0.04
7,I1038971,G2000064,0.08,0.16
7,I1038971,G2000064,0.06,0.12
6,I2013255,G1005029,4.0,4.0
6,I2013255,G3004428,4.0,4.0
6,I2013255,I1006833,8.0,8.0
7,I1006833,G2005882,0.08,0.64
7,I1006833,G2005882,0.32,2.56
7,I1006833,G2005882,0.24,1.92
6,I2013255,I1038970,4.0,4.0
7,I1038970,G2005887,0.21,0.84
7,I1038970,G2005887,0.84,3.36
7,I1038970,G2005887,0.63,2.52
6,I2013255,I1038971,8.0,8.0
7,I1038971,G2000064,0.02,0.16
7,I1038971,G2000064,0.08,0.64
7,I1038971,G2000064,0.06,0.48
6,I2013255,G1005029,3.0,3.0
6,I2013255,G3004428,3.0,3.0
6,I2013255,I1006833,6.0,6.0
7,I1006833,G2005882,0.08,0.48
7,I1006833,G2005882,0.32,1.92
7,I1006833,G2005882,0.24,1.44
6,I2013255,I1038970,3.0,3.0
7,I1038970,G2005887,0.21,0.63
7,I1038970,G2005887,0.84,2.52
7,I1038970,G2005887,0.63,1.8900000000000001
6,I2013255,I1038971,6.0,6.0
7,I1038971,G2000064,0.02,0.12
7,I1038971,G2000064,0.08,0.48
7,I1038971,G2000064,0.06,0.36
5,I2015554,I2015556,1.0,1.0
6,I2015556,I1007211,2.0,2.0
7,I1007211,G2005696,0.082,0.164
7,I1007211,G2005696,0.492,0.984
7,I1007211,G2005696,0.123,0.246
6,I2015556,I1007212,2.0,2.0
7,I1007212,G2005882,0.14,0.28
7,I1007212,G2005882,0.84,1.68
7,I1007212,G2005882,0.21,0.42
6,I2015556,I1008779,1.0,1.0
7,I1008779,G2000054,0.24,0.24
7,I1008779,G2000054,0.96,0.96
6,I2015556,I1044491,1.0,1.0
7,I1044491,G2000054,0.53,0.53
4,I2015596,I2015555,1.0,1.0
5,I2015555,G3006035,2.0,2.0
5,I2015555,I1044489,1.0,1.0
6,I1044489,G2005932,6.7,6.7
5,I2015555,I1044490,1.0,1.0
6,I1044490,G1009109,1.566,1.566
5,I2015555,I2013255,1.0,1.0
6,I2013255,G1005029,1.0,1.0
